kind,scope,sharedUi,action,currentFile,currentClass,currentSelector,templateUrl,styleUrls,proposedBase,proposedClass,proposedSelector,confidence,notes
Pipe,console,,keep,libs/console/feature-messages/src/lib/pipes/relative-time.pipe.ts,RelativeTimePipe,relativeTime,,,relative-time.pipe,RelativeTimePipe,relativeTime,high,keep-pipe
Component,console,,rename,libs/console/feature-profile/src/lib/profile-page/profile-page.ts,ProfilePageComponent,console-profile-page,libs/console/feature-profile/src/lib/profile-page/profile-page.html,libs/console/feature-profile/src/lib/profile-page/profile-page.scss,profile,Profile,console-profile,med,page-dropped;page-container
Component,console,,rename,libs/console/feature-profile/src/lib/sections/admin-contact-address-section/admin-contact-address-section.component.ts,AdminContactAddressSectionComponent,console-profile-admin-contact-address-section,libs/console/feature-profile/src/lib/sections/admin-contact-address-section/admin-contact-address-section.component.html,,profile-admin-contact-address.section,ProfileAdminContactAddressSection,console-profile-admin-contact-address-section,high,
Component,console,,rename,libs/console/feature-profile/src/lib/sections/contact-section/contact-section.component.ts,ContactSectionComponent,console-profile-contact-section,libs/console/feature-profile/src/lib/sections/contact-section/contact-section.component.html,,profile-contact.section,ProfileContactSection,console-profile-contact-section,high,
Component,console,,rename,libs/console/feature-profile/src/lib/sections/identity-section/identity-section.component.ts,IdentitySectionComponent,console-profile-identity-section,libs/console/feature-profile/src/lib/sections/identity-section/identity-section.component.html,libs/console/feature-profile/src/lib/sections/identity-section/identity-section.component.scss,profile-identity.section,ProfileIdentitySection,console-profile-identity-section,high,
Component,console,,rename,libs/console/feature-profile/src/lib/sections/landing-content-section/landing-content-section.component.ts,LandingContentSectionComponent,console-profile-landing-content-section,libs/console/feature-profile/src/lib/sections/landing-content-section/landing-content-section.component.html,,profile-landing-content.section,ProfileLandingContentSection,console-profile-landing-content-section,high,
Component,console,,rename,libs/console/feature-profile/src/lib/sections/location-section/location-section.component.ts,LocationSectionComponent,console-profile-location-section,libs/console/feature-profile/src/lib/sections/location-section/location-section.component.html,,profile-location.section,ProfileLocationSection,console-profile-location-section,high,
Component,console,,rename,libs/console/feature-profile/src/lib/sections/seo-og-section/seo-og-section.component.ts,SeoOgSectionComponent,console-profile-seo-og-section,libs/console/feature-profile/src/lib/sections/seo-og-section/seo-og-section.component.html,libs/console/feature-profile/src/lib/sections/seo-og-section/seo-og-section.component.scss,profile-seo-og.section,ProfileSeoOgSection,console-profile-seo-og-section,high,
Component,console,,rename,libs/console/feature-profile/src/lib/sections/social-links-section/social-links-section.component.ts,SocialLinksSectionComponent,console-profile-social-links-section,libs/console/feature-profile/src/lib/sections/social-links-section/social-links-section.component.html,libs/console/feature-profile/src/lib/sections/social-links-section/social-links-section.component.scss,profile-social-links.section,ProfileSocialLinksSection,console-profile-social-links-section,high,
Component,console,,rename,libs/console/feature-profile/src/lib/sections/work-availability-section/work-availability-section.component.ts,WorkAvailabilitySectionComponent,console-profile-work-availability-section,libs/console/feature-profile/src/lib/sections/work-availability-section/work-availability-section.component.html,,profile-work-availability.section,ProfileWorkAvailabilitySection,console-profile-work-availability-section,high,
Component,console,,rename,libs/console/feature-project/src/lib/project-detail/project-detail.ts,ProjectDetailComponent,console-project-detail,libs/console/feature-project/src/lib/project-detail/project-detail.html,,project.detail,ProjectDetail,console-project-detail,high,
Component,console,,rename,libs/console/feature-project/src/lib/project-form-page/project-form-page.ts,ProjectFormPageComponent,console-project-form-page,libs/console/feature-project/src/lib/project-form-page/project-form-page.html,libs/console/feature-project/src/lib/project-form-page/project-form-page.scss,project.form,ProjectForm,console-project-form,high,page-dropped
